label,message
ham,Okie...
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.
ham,When should I come over?
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
ham,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
ham,What happened to our yo date?
ham,Why are u up so early?
ham,Just glad to be talking to you.
spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
ham,Tell me they're female :V how're you throwing in? We're deciding what all to get now
ham,Ok... Take ur time n enjoy ur dinner...
ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:)
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,Same to u...
ham,K..k.:)congratulation ..
ham,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
ham,Lol. Well quality aint bad at all so i aint complaining
spam,"URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
ham,Huh but i cant go 2 ur house empty handed right?
ham,I have a rather prominent bite mark on my right cheek
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,Jason says it's cool if we pick some up from his place in like an hour
ham,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. "
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
ham,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days
ham,"Sorry, I'll call later"
spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,U having lunch alone? I now so bored...
ham,India have to take lead:)
ham,U dun say so early hor... U c already then say...
ham,I not free today i haf 2 pick my parents up tonite...
ham,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!"
ham,No shoot me. I'm in the docs waiting room. :/
ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
ham,"Not really dude, have no friends i'm afraid :("
ham,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details"
ham,Oh wow thats gay. Will firmware update help
ham,"I call you later, don't have network. If urgnt, sms me."
ham,How come i din c ü... Yup i cut my hair...
ham,I had askd u a question some hours before. Its answer
spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
ham,"Sorry, I can't text &amp; drive coherently, see you in twenty"
ham,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated."
ham,"Aight, let me know when you're gonna be around usf"
spam,You have 1 new message. Please call 08715205273
ham,Can... I'm free...
ham,"""HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS  FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,IL CALL U"""
ham,I am waiting for your call sir.
ham,Gokila is talking with you aha:)
ham,"Sorry, I'll call you  later. I am in meeting sir."
ham,Watching tv now. I got new job :)
ham,"Sorry battery died, yeah I'm here"
ham,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
ham,Hi' Test on  &lt;#&gt; rd ....
ham,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?
ham,This is my number by vivek..
ham,"Hmph. Go head, big baller."
ham,I could ask carlos if we could get more if anybody else can chip in
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
ham,Ok then i will come to ur home after half an hour
ham,K do I need a login or anything
